"Adenzia Aparecida Ferreira da Silva","BRA","F"
"Franck Adisson","FRA","M"
"Richard 'Richy'  Adjei","GER","M"
"Sammi Adjei","GHA","M"
"Charles 'Chuck' Adkins","USA","M"
"Derrick Ralph Adkins","USA","M"
"Robert Edward 'Bob' Adlard","GBR","M"
"Daniel Adler","BRA","M"
"Egon Adler","GER","M"
"Margarete 'Grete' Adler","AUT","F"
"Gregor Nils Henric Adlercreutz","SWE","M"
"Nils August Domingo Adlercreutz","SWE","M"
"Anna Mrtha Vilhelmina Adlerstrhle ","SWE","F"
"Erik William Adlerz","SWE","M"
"Rebecca 'Becky' Adlington","GBR","F"
"Dainius Adomaitis","LTU","M"
"Nathan Ghar-Jun Adrian","USA","M"
"Adriana Aparecida dos Santos","BRA","F"
"Adriana 'Adrianinha' Moiss Pinto","BRA","F"
"Attila Adrovicz","HUN","M"
"Klaus Aeffke","GER","M"
"Kseniya Dmitriyevna Afanasyeva","RUS","F"
"Maksim Sergeyevich Afinogenov","RUS","M"
"Olabisi 'Bisi' Afolabi","NGR","F"
"Felicia Afrsiloaie ","ROU","F"
"Cecil Sebastian Afrika","RSA","M"
"Muhammad Afzal Manna","PAK","M"
"Timothy Ernest Victor Kwizera 'Tim' Agaba","RSA","M"
"Lavinia Agache ","ROU","F"
"Luca Agamennoni","ITA","M"
"Andre Kirk Agassi","USA","M"
"Clarisse Agbegnenou","FRA","F"
"Henrik Agersborg","NOR","M"
"Viktor Ivanovich Ageyev","URS","M"
"Marilyn Agliotti","NED","F"
"Yannick Agnel","FRA","M"
"Meghan Christina Agosta ","CAN","F"
"Benjamin Alexandro 'Ben' Agosto","USA","M"
"Judit goston-Mendelnyi","HUN","F"
"Carlo Agostoni Faini","ITA","M"
"Erik Alfred gren","SWE","M"
"Ioannis Agrimis","GRE","M"
"Estella 'Stella' Agsteribbe ","NED","F"
"Sergio Leonel Agero del Castillo","ARG","M"
"Taismary 'Tai' Agero Leiva ","CUB","F"
"Jos Aguilar Pulsn","CUB","M"
"Macarena Aguilar Daz","ESP","F"
"Sandra Aguilar Navarro","ESP","F"
"Jorge Luis Aguilera Ruiz","CUB","M"
"Sri Wahyuni Agustiani","INA","F"
"Robyn Mokihana Ah Mow-Santos","USA","F"
"Kevin Joseph Ahearn","USA","M"
"Timothy Joseph 'Tim' Ahearne","GBR","M"
"Bruno Valfrid Ahlberg","FIN","M"
"Mats Bertil hlberg","SWE","M"
"Annica Gunilla hln","SWE","F"
"Johan Petter hln ","SWE","M"
"Thomas Valter hln","SWE","M"
"Anselm Ahlfors","FIN","M"
"Anders Oscar Ahlgren","SWE","M"
"George Lewis Ahlgren","USA","M"
"Christian Ahlmann","GER","M"
"Thure Johan Ahlqvist","SWE","M"
